mouse,day,target_cluster_id,target_shank_id,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um,cell_type,target_cell_type
29,18,240,2,3.0,5.0,pos+ngs_shank,0.0513322438843645,269.7565390034264,NG,NG
29,18,244,2,,,pos,0.059156869654738,,NG,NG
29,18,244,2,0.0,7.0,pos+ngs_shank,0.0690155683132594,518.7912416857826,NG,NG
29,18,244,2,1.0,18.0,pos+ngs_shank,0.0750365889439796,288.9212261176623,NG,NG
29,18,244,2,2.0,24.0,pos+ngs_shank,0.0973428126455393,101.25000000000016,NG,NG
29,18,244,2,3.0,5.0,pos+ngs_shank,0.058894833266047,269.7565390034264,NG,NG
29,18,245,2,,,pos,0.1309563623646485,,NG,NG
29,18,245,2,0.0,7.0,pos+ngs_shank,0.1402127711214464,522.5050063623833,NG,NG
29,18,245,2,1.0,18.0,pos+ngs_shank,0.143481149604269,293.9669563820015,NG,NG
29,18,245,2,2.0,24.0,pos+ngs_shank,0.1959661764508343,117.49999999999989,NG,NG
29,18,245,2,3.0,5.0,pos+ngs_shank,0.1329713238819108,282.7651210815351,NG,NG
29,18,249,2,,,pos,0.0192386384414512,,NG,NG
29,18,249,2,0.0,7.0,pos+ngs_shank,0.0194876348018198,527.8848899065791,NG,NG
29,18,249,2,1.0,18.0,pos+ngs_shank,0.0190682280711197,301.77485628731836,NG,NG
29,18,249,2,2.0,24.0,pos+ngs_shank,0.0215185556647043,136.25000000000017,NG,NG
29,18,249,2,3.0,5.0,pos+ngs_shank,0.0197121147591012,298.2139074943645,NG,NG
29,18,251,2,,,pos,0.0208957457071402,,NG,NG
29,18,251,2,0.0,7.0,pos+ngs_shank,0.0156992410491646,534.8819782459398,NG,NG
29,18,251,2,1.0,18.0,pos+ngs_shank,0.019990906113607,312.1672486811665,NG,NG
29,18,251,2,2.0,24.0,pos+ngs_shank,0.0239238111444489,157.49999999999986,NG,NG
29,18,251,2,3.0,5.0,pos+ngs_shank,0.0176194055965281,315.77445434805185,NG,NG
29,18,252,2,,,pos,0.0540880426008738,,NG,NG
29,18,252,2,0.0,7.0,pos+ngs_shank,0.0699694272741575,534.8819782459398,NG,NG
