,cluster_id,brain_region,grid_score,field_size,field_spacing,orientation,_smooth_sigma,travel,sig,null_grid_score,null_field_size,null_field_spacing,null_orientation,null__smooth_sigma,null__skip_shuffles,mouse,day,session_travel_lag,optimal_travel_lag,optimal_travel_lag_grid_score,session_travel_lag_grid_score,zero_lag_grid_score,spatial_information_score,spatial_information_score_no_lag,SC_x,SC_y,SC_z,probe_x,probe_y,theta_index,firing_rate,firing_rate_OF1,firing_rate_VR,classified_by,cell_type,grid_module
53,266,ENTm2,-0.5184593507562143,47.941327640317155,63.921770187089535,43.352366032132124,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,7.0,-28.0,-0.5184593507562143,-0.5389418296077357,0.10207527679621885,0.10664872241748614,-3510.0,4032.10439259332,4174.497936842545,532.0,300.0,0.015039851976525144,6.008610535398724,5.863596544255638,6.128261492879671,OF1,NG,
54,270,ENTm3,-0.325172303777985,45.70600911133955,60.94134548178606,31.02454532689659,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,7.0,21.0,-0.325172303777985,-0.307012416764986,0.06885257923219483,0.06695084296781714,-3510.0,4002.246778528811,4177.417334447334,532.0,330.0,0.0423381637258521,7.492974364628273,6.808778233226816,6.312311410275665,OF1,NG,
55,271,ENTm3,-0.3571335076240615,36.39316867091795,48.52422489455727,56.2959642149331,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-15.0,-14.0,-0.3571335076240615,-0.3880796110209693,0.018305384593395264,0.016676362114629154,-3510.0,3987.3179714965568,4178.877033249729,500.0,345.0,0.2066740284978773,29.02803055376808,27.52180702912492,31.449597902813995,OF1,NG,
56,273,ENTm3,-0.15439747654999442,39.62193030715417,52.8292404095389,8.689308943579704,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-35.0,16.0,-0.15439747654999442,-0.49084037028233185,0.04863703819160016,0.04703491898228034,-3510.0,3957.460357432048,4181.796430854517,532.0,375.0,0.08200373391835018,9.50935303931819,11.344658890964373,8.8076350677899,OF1,NG,
57,274,ENTm3,-0.5382541289666188,51.24084119330193,68.32112159106924,24.48591293403175,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,16.0,-36.0,-0.5382541289666188,-0.42672306833711304,0.10809984944803828,0.1026058153030512,-3510.0,3957.460357432048,4181.796430854517,500.0,375.0,0.17172440357703475,15.576631287967416,19.87029687041681,8.360890757908821,OF1,NG,
58,275,ENTm3,-0.1785940541458485,29.48730045320172,39.316400604268956,32.95751861548739,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,10.0,9.0,-0.1785940541458485,-0.16199818392557738,0.04567140998514393,0.044070145681830354,-3510.0,3957.460357432048,4181.796430854517,500.0,375.0,0.1763814432885541,22.179458581670414,24.129397925177667,17.517510683906554,OF1,NG,
59,279,ENTm3,-0.6199226838697771,40.536021542887596,54.048028723850116,21.3276045667859,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,15.0,49.0,-0.6199226838697771,-0.4637825608291388,0.10973729244166475,0.10390342308932171,-3510.0,3897.7451293030304,4187.635226064095,532.0,435.0,0.151846022177789,13.500406833495862,14.758549396933699,10.372878578938026,OF1,NG,
60,284,ENTm3,-0.3032136318424624,41.60215600141241,55.46954133521655,10.243188747627293,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,9.0,-40.0,-0.3032136318424624,-0.2838853837979297,0.0553751576019165,0.05828165747410164,-3510.0,3912.673936335285,4186.1755272617,500.0,420.0,0.04957097467030598,11.341246495232436,11.336396813263578,9.759560901680752,OF1,NG,
61,285,ENTm3,-0.5705320569832426,38.994663084049435,51.992884112065916,5.452841997008058,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,3.0,33.0,-0.5705320569832426,-0.4449965659342322,0.030445754042038756,0.027705274366450414,-3510.0,3912.673936335285,4186.1755272617,532.0,420.0,0.09345096728636756,14.358746108080505,17.756031186782852,15.473300473778348,OF1,NG,
62,286,ENTm3,-0.5422634991646357,29.507603266158668,39.343471021544886,41.43277009587576,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,2.0,-33.0,-0.5422634991646357,-0.3875043906592367,0.23742401701746,0.21196312762868585,-3510.0,3912.673936335285,4186.1755272617,500.0,420.0,0.05459196836879369,3.375396225006749,2.3092507173727643,3.606176868147622,OF1,NG,
