mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
20,16,1,303,290.0,pos+cell,0.0190560847874813,59.99999999999991
20,16,1,303,323.0,pos+cell,0.017558201165237,119.99999999999996
20,16,1,323,,pos,0.0044958217580248,
20,16,1,323,108.0,pos+cell,0.0055415363658168,574.1399587559589
20,16,1,323,252.0,pos+cell,0.0051090754008458,183.44319821938632
20,16,1,323,254.0,pos+cell,0.0042444014286154,166.88221461588148
20,16,1,323,258.0,pos+cell,0.0048100652631839,150.07356005745186
20,16,1,323,286.0,pos+cell,0.0048027817004797,209.9999999999999
20,16,1,323,290.0,pos+cell,0.0052888886053704,179.99999999999986
20,16,1,323,303.0,pos+cell,0.0063595626038533,119.99999999999996
20,16,0,367,,pos,0.0006849604504831,
20,16,0,367,152.0,pos+cell,0.0002160878062014,331.080045687551
20,16,0,367,399.0,pos+cell,0.0006120359361164,368.3141471359857
20,16,0,399,,pos,-0.0024801972153709,
20,16,0,399,152.0,pos+cell,-0.0023942197272576,401.60645424777294
20,16,0,399,367.0,pos+cell,-0.0024824527886651,368.3141471359857
20,25,1,96,,pos,-0.0038583120241145,
20,25,1,96,100.0,pos+cell,-0.0006185106895556,44.999999999999936
20,25,1,96,103.0,pos+cell,-0.0013757831402587,60.00000000000031
20,25,1,96,121.0,pos+cell,-0.0019225790555923,210.00000000000043
20,25,1,100,,pos,0.004788653522067,
20,25,1,100,96.0,pos+cell,0.0048102716795564,44.999999999999936
20,25,1,100,103.0,pos+cell,0.0062031201139216,15.000000000000377
20,25,1,100,121.0,pos+cell,0.005459178591245,165.00000000000048
20,25,1,103,,pos,-0.0067453251023739,
20,25,1,103,96.0,pos+cell,0.0009894858052773,60.00000000000031
20,25,1,103,100.0,pos+cell,0.0038192309306479,15.000000000000377
20,25,1,103,121.0,pos+cell,-0.005361683278171,150.00000000000009
20,25,1,121,,pos,-0.0037398585144983,
20,25,1,121,96.0,pos+cell,-0.0026204865496624,210.00000000000043
20,25,1,121,100.0,pos+cell,-0.000782976852713,165.00000000000048
20,25,1,121,103.0,pos+cell,-0.0009325427553471,150.00000000000009
20,25,0,155,,pos,-0.0025781264638691,
20,25,0,155,157.0,pos+cell,0.0206868997636866,44.999999999999936
20,25,0,155,159.0,pos+cell,9.058418234781928e-05,74.9999999999996
20,25,0,155,160.0,pos+cell,-0.0006321217036793,104.9999999999998
20,25,0,155,163.0,pos+cell,-0.0009939327694713,120.00000000000009
20,25,0,155,164.0,pos+cell,0.0090648090626631,149.99999999999974
20,25,0,155,166.0,pos+cell,0.0003072002478812,165.00000000000003
20,25,0,155,168.0,pos+cell,0.0018638249917106,194.9999999999997
20,25,0,155,170.0,pos+cell,-0.0017021266799735,209.9999999999995
20,25,0,155,178.0,pos+cell,-0.0013347201936203,314.99999999999966
20,25,0,157,,pos,-0.0013671353164726,
20,25,0,157,155.0,pos+cell,0.0173727200049008,44.999999999999936
20,25,0,157,159.0,pos+cell,0.0002211982919258,29.999999999999655
20,25,0,157,160.0,pos+cell,-0.0002804142597471,59.99999999999986
20,25,0,157,163.0,pos+cell,-0.0013723864084372,75.00000000000014
20,25,0,157,164.0,pos+cell,0.0077958701564752,104.9999999999998
20,25,0,157,166.0,pos+cell,0.000464033933748,120.00000000000009
20,25,0,157,168.0,pos+cell,0.0005891511432775,149.99999999999974
20,25,0,157,170.0,pos+cell,-0.0005916861042567,164.99999999999957
20,25,0,157,178.0,pos+cell,-0.0003241667104105,269.9999999999997
20,25,0,159,,pos,0.0008259899903106,
20,25,0,159,155.0,pos+cell,0.0013804873125381,74.9999999999996
20,25,0,159,157.0,pos+cell,0.0011736565129305,29.999999999999655
